title,year,cast,genres
Togetherness,1970,"['George Hamilton', 'Peter Lawford', 'Olga Schoberová']",['Comedy']
Too Late the Hero,1970,"['Michael Caine', 'Cliff Robertson', 'Henry Fonda']",['War']
Tora! Tora! Tora!,1970,"['Jason Robards', 'So Yamamura', 'Martin Balsam', 'Joseph Cotten', 'James Whitmore', 'E.G. Marshall', 'Edward Andrews', 'Richard Anderson', 'Neville Brand']","['War', 'Drama']"
Trash,1970,"['Joe Dallesandro', 'Holly Woodlawn', 'Jane Forth']",['Drama']
The Traveling Executioner,1970,"['Stacy Keach', 'Bud Cort', 'Marianna Hill']","['Western', 'Comedy', 'Drama']"
The Twelve Chairs,1970,"['Frank Langella', 'Ron Moody', 'Dom DeLuise']",['Comedy']
Two Mules for Sister Sara,1970,"['Clint Eastwood', 'Shirley MacLaine']",['Western']
Underground,1970,"['Robert Goulet', 'Danielle Gaubert']",['Drama']
Up in the Cellar,1970,"['Joan Collins', 'Larry Hagman', 'Judy Pace']","['Drama', 'Comedy']"
WUSA,1970,"['Paul Newman', 'Joanne Woodward', 'Anthony Perkins']",['Drama']
A Walk in the Spring Rain,1970,"['Ingrid Bergman', 'Anthony Quinn', 'Fritz Weaver']","['Romance', 'Drama']"
Watermelon Man,1970,"['Godfrey Cambridge', ""D'Urville Martin"", 'Estelle Parsons']",['Comedy']
The Way We Live Now,1970,"['Nicholas Pryor', 'Joanna Miles', 'Lois Smith']","['Drama', 'War']"
What Do You Say to a Naked Lady?,1970,['Richard Roundtree'],['Comedy']
Where's Poppa?,1970,"['George Segal', 'Ruth Gordon', 'Ron Leibman']",['Comedy']
Which Way to the Front?,1970,"['Jerry Lewis', 'Jan Murray', 'John Wood (English actor)']",['Comedy']
The Wild Country,1970,"['Vera Miles', 'Steve Forrest', 'Ron Howard']","['Adventure', 'Western']"
Woodstock,1970,"['Jimi Hendrix', 'The Who', 'Jefferson Airplane', 'Joe Cocker', 'Santana', 'Crosby', 'Stills & Nash', 'Janis Joplin', 'Arlo Guthrie', 'Joan Baez', 'Sly and the Family Stone']",['Documentary']
The Yin and the Yang of Mr. Go,1970,"['James Mason', 'Jeff Bridges', 'Irene Tsu']","['Drama', 'Thriller']"
You Can't Win 'Em All,1970,"['Tony Curtis', 'Charles Bronson', 'Michèle Mercier']",['War']
Zabriskie Point,1970,"['Daria Halprin', 'G. D. Spradlin', 'Rod Taylor']",['Drama']
Zig Zag,1970,"['George Kennedy', 'Anne Jackson', 'Eli Wallach']","['Thriller', 'Drama']"
200 Motels,1971,"['Frank Zappa', 'Ringo Starr', 'Theodore Bikel']","['Comedy', 'Musical']"
The Anderson Tapes,1971,"['Sean Connery', 'Dyan Cannon', 'Christopher Walken', 'Martin Balsam', 'Alan King']","['Crime', 'Drama']"
The Andromeda Strain,1971,"['Arthur Hill', 'James Olson', 'Kate Reid', 'David Wayne', 'Paula Kelly']","['Science Fiction', 'Thriller']"
Bananas,1971,"['Woody Allen', 'Louise Lasser', 'Carlos Montalbán', 'Sylvester Stallone']",['Comedy']
The Barefoot Executive,1971,"['Kurt Russell', 'Joe Flynn']","['Comedy', 'Family']"
The Battle of Love's Return,1971,"['Lloyd Kaufman', 'Lynn Lowry', 'Oliver Stone']",['Comedy']
Bedknobs and Broomsticks,1971,"['Angela Lansbury', 'David Tomlinson']","['Musical', 'Fantasy']"
Been Down So Long It Looks Like Up to Me,1971,"['Barry Primus', 'David Downing', 'Susan Tyrrell']",['Drama']
The Beguiled,1971,"['Clint Eastwood', 'Geraldine Page', 'Elizabeth Hartman', 'Darlene Carr', 'Jo Ann Harris']",['Drama']
Believe in Me,1971,"['Michael Sarrazin', 'Jacqueline Bisset']","['Drama', 'Romance']"
The Big Doll House,1971,"['Roberta Collins', 'Pam Grier']",[]
Big Jake,1971,"['John Wayne', ""Maureen O'Hara"", 'Richard Boone']",['Western']
