title,year,cast,genres
Doubt,2008,"['Meryl Streep', 'Philip Seymour Hoffman', 'Amy Adams', 'Viola Davis', 'Alice Drummond', 'Audrie J. Neenan', 'Susan Blommaert', 'Carrie Preston', 'John Costelloe', 'Paulie Litt', 'Lydia Jordan', 'Helen Stenborg', 'Margery Beddow', 'Marylouise Burke', 'Lloyd Clay Brown', 'Joseph Foster', 'Mike Roukis', 'Frank Shanley', 'Frank Dolce', 'Matthew Marvin', 'Bridget Clark', 'Molly Chiffer', ""Jack O'Connell""]",['Drama']
Gran Torino,2008,"['Clint Eastwood', 'Christopher Carley', 'Bee Vang', 'Ahney Her', 'Brian Haley', 'Geraldine Hughes', 'Dreama Walker', 'Brian Howe', 'John Carroll Lynch', 'Scott Eastwood', 'Doua Moua', 'John Johns', 'Cory Hardrict', 'William Hill', 'Brooke Chia Thao', 'Chee Thao', 'Choua Kue', 'Xia Soua Chang', 'Sonny Vue', 'Davis Gloff', 'Tom Mahard', 'Nana Gbewonyo', 'Arthur Cartwright', 'Austin Douglas Smith', 'Conor Liam Callaghan', 'Michael E. Kurowski', 'Julia Ho', 'Maykao K. Lytongpao']",['Drama']
Nothing like the Holidays,2008,"['Luis Guzmán', 'John Leguizamo', 'Debra Messing', 'Alfred Molina', 'Freddy Rodriguez', 'Melonie Diaz', 'Vanessa Ferlito', 'Jay Hernandez', 'Elizabeth Peña', 'Jessica Camacho']",[]
Timecrimes,2008,"['Karra Elejalde', 'Nacho Vigalondo', 'Candela Fernández', 'Bárbara Goenaga', 'Juan Inciarte']","['Thriller', 'Science Fiction']"
Where God Left His Shoes,2008,"['John Leguizamo', 'Leonor Varela', 'Samantha Rose', 'Jerry Ferrara', 'Adriane Lenox', 'Charles Dumas', 'Sakina Jaffrey', 'Chance Kelly', 'Manny Perez', 'Frank Rodriguez']",['Drama']
While She Was Out,2008,"['Kim Basinger', 'Lukas Haas', 'Craig Sheffer', 'Rachel Hayward', 'Jamie Starr', 'Leonard Wu', 'Luis Chávez', 'Luke Gair', 'Erika-Shaye Gair']",['Thriller']
The Wrestler,2008,"['Mickey Rourke', 'Marisa Tomei', 'Evan Rachel Wood', 'Mark Margolis', 'Todd Barry', 'Judah Friedlander', 'Ernest Miller', 'Ajay Naidu', ""John D'Leo"", 'Robert Siegel', 'Johnny Valiant', 'Robbie E.', 'Necro Butcher', 'Nick Berk', 'The Blue Meanie', 'Sabian', 'Ron Killings', 'L.A. Smooth', 'Jay Lethal', 'Jim Powers', 'Claudio Castagnoli', 'Larry Sweeney', 'Romeo Roselli', 'John Zandig', 'Chuck Taylor', 'Nigel McGuinness', 'D. J. Hyde', 'Kit Cope', 'Wass Stevens', 'Gregg Bello', 'Scott Siegel', 'Maurizio Ferrigno', 'Donnetta Lavinia Grays', 'Andrea Langi', 'Andrew Anderson', 'Nate Hatred', 'Pappadon', 'Jay Santana']","['Drama', 'Sports']"
Nothing but the Truth,2008,"['Kate Beckinsale', 'Matt Dillon', 'Angela Bassett', 'Alan Alda', 'Vera Farmiga', 'David Schwimmer', 'Noah Wyle', 'Floyd Abrams', 'Preston Bailey', 'Rod Lurie']","['Drama', 'Political']"
Seven Pounds,2008,"['Will Smith', 'Rosario Dawson', 'Woody Harrelson', 'Michael Ealy', 'Barry Pepper', 'Elpidia Carrillo', 'Robinne Lee', 'Joe Nunez', 'Bill Smitrovich', 'Tim Kelleher', 'Gina Hecht', 'Andy Milder', 'Judyann Elder', 'Sarah Jane Morris', 'Madison Pettis', 'Octavia Spencer', 'Ivan Angulo', 'Audrey Wasilewski', 'Sonya Eddy', 'Dale Raoul', 'Kevin Cooney', 'Quintin Kelly', 'Skylan Brooks', 'Bryce J. Harris', 'Bradly J. Harris', 'Weston Harris', 'Biz Markie']",['Drama']
The Tale of Despereaux,2008,"['Matthew Broderick', 'Dustin Hoffman', 'Emma Watson', 'Tracey Ullman', 'Kevin Kline', 'William H. Macy', 'Stanley Tucci', 'Ciarán Hinds', 'Robbie Coltrane', 'Tony Hale', 'Frances Conroy', 'Frank Langella', 'Richard Jenkins', 'Christopher Lloyd', 'Charles Shaughnessy', 'Sigourney Weaver', 'Sam Fell', 'Bronson Pinchot', 'Robin Atkin Downes', 'Daniel Riordan', 'Patricia Cullen', 'Jane Karen', 'McNally Sagal', 'Gary Dunn', 'Georgina Cordova', 'Belinda']","['Adventure', 'Animated', 'Fantasy']"
Yes Man,2008,"['Jim Carrey', 'Zooey Deschanel', 'Bradley Cooper', 'John Michael Higgins', 'Rhys Darby', 'Danny Masterson', 'Fionnula Flanagan', 'Terence Stamp', 'Sasha Alexander', 'Molly Sims', 'Rocky Carroll', 'Spencer Garrett', ""Sean O'Bryan"", 'Patrick Labyorteaux', 'Brent Briscoe', 'Maile Flanagan', 'Jarrad Paul', 'Aaron Takahashi', 'Vivian Bang', 'Mary-Pat Green', 'Luis Guzmán', 'Danny Wallace', 'John Cothran', 'Arne Starr']","['Comedy', 'Romance']"
Bedtime Stories,2008,"['Adam Sandler', 'Keri Russell', 'Guy Pearce', 'Russell Brand', 'Richard Griffiths', 'Teresa Palmer', 'Lucy Lawless', 'Courteney Cox', 'Aisha Tyler', 'Jonathan Pryce', 'Jonathan Morgan Heit', 'Laura Ann Kesling', 'Nick Swardson', 'Kathryn Joosten', 'Allen Covert', 'Carmen Electra', 'Sarah Buxton', 'Blake Clark', 'Paul Dooley', 'Mikey Post', 'Debbie Lee Carrington', 'Annalise Basso', 'Jonathan Loughran', 'Rob Schneider', 'Heather Morris', 'Arne Starr']","['Comedy', 'Fantasy']"
The Curious Case of Benjamin Button,2008,"['Brad Pitt', 'Cate Blanchett', 'Taraji P. Henson', 'Julia Ormond', 'Jason Flemyng', 'Elias Koteas', 'Tilda Swinton', 'Jared Harris', 'Mahershalalhashbaz Ali', 'Jared Harris', 'Faune A. Chambers', 'Ed Metzger', ""Patrick Thomas O'Brien"", 'Lance E. Nichols', 'Phyllis Somerville', 'Don Creech', 'Josh Stewart', 'Ilia Volok', 'Louis Herthum', 'Joel Bissonnette', 'Bianca Chiminello', 'Robert Towers', 'Tom Everett', 'Spencer Daniels', 'Chandler Canterbury', 'Elle Fanning', 'Madisen Beaty']","['Drama', 'Fantasy', 'Romance']"
Last Chance Harvey,2008,"['Dustin Hoffman', 'Emma Thompson', 'Eileen Atkins', 'Kathy Baker', 'James Brolin', 'Liane Balaban', 'Richard Schiff', 'Timothy Howar', 'Wendy Mae Brown', 'Bronagh Gallagher', 'Jeremy Sheffield', 'Daniel Lapaine', 'Patrick Baladi', 'Adam James', 'Michael Landes', 'Jamie Sives', 'Kate Harper', 'Angela Griffin', 'Alex Avery', 'Tim Ahern', 'Charlotte Lucas']","['Drama', 'Romance']"
Marley & Me,2008,"['Owen Wilson', 'Jennifer Aniston', 'Eric Dane', 'Kathleen Turner', 'Alan Arkin', 'Nathan Gamble', 'Finley Jacobsen', 'Haley Bennett', 'Ann Dowd', 'Clarke Peters', 'Haley Hudson', 'Tom Irwin', 'Alec Mapa', 'Sandy Martin', 'Joyce Van Patten', 'Zabryna Guevara', 'Gloria Estefan', 'Emilio Estefan', 'Bryce Robinson', 'Dylan Henry', 'Ben Hyland', 'Lucy Merriam']","['Comedy', 'Drama']"
The Spirit,2008,"['Gabriel Macht', 'Samuel L. Jackson', 'Scarlett Johansson', 'Eva Mendes', 'Sarah Paulson', 'Dan Lauria', 'Stana Katic', 'Louis Lombardi', 'Jaime King', 'Paz Vega', 'Frank Miller', 'Eric Balfour', 'Michael Milhoan', 'Richard Portnow', 'Paul Levitz', 'Johnny Simmons', 'Seychelle Gabriel']","['Noir', 'Superhero']"
Valkyrie,2008,"['Tom Cruise', 'Kenneth Branagh', 'Bill Nighy', 'Tom Wilkinson', 'Carice van Houten', 'Thomas Kretschmann', 'Terence Stamp', 'Eddie Izzard', 'Kevin McNally', 'Christian Berkel', 'Jamie Parker', 'David Bamber', 'Tom Hollander', 'David Schofield', 'Kenneth Cranham', 'Halina Reijn', 'Werner Daehn', 'Harvey Friedman', 'Matthias Freihof', 'Waldemar Kobus', 'Ian McNeice', 'Danny Webb', 'Chris Larkin', 'Christian Oliver', 'Bernard Hill', 'Julian Morris', 'Matthew Burton', 'Philipp von Schulthess', 'Helmut Stauss', 'Gerhard Haase-Hindenberg', 'Anton Algrang']","['Historical', 'Political', 'Thriller', 'War']"
Waltz with Bashir,2008,"['Ari Folman', 'Miki Leon', 'Ori Sivan', 'Yehezkel Lazarov', 'Ronny Dayag', 'Shmuel Frenkel', 'Zahava Solomon', 'Ron Ben-Yishai', 'Dror Harazi']","['Animated', 'Documentary', 'Drama', 'War', 'Erotic']"
Revolutionary Road,2008,"['Leonardo DiCaprio', 'Kate Winslet', 'Kathy Bates', 'Michael Shannon', 'Kathryn Hahn', 'David Harbour', 'Richard Easton', 'Dylan Baker', 'Zoe Kazan', 'Jay O. Sanders', 'Max Casella', 'Ryan Simpkins', 'Ty Simpkins', 'Kristen Connolly', 'John Behlmann']","['Drama', 'Romance']"
Defiance,2008,"['Daniel Craig', 'Liev Schreiber', 'Jamie Bell', 'George MacKay', 'Alexa Davalos', 'Allan Corduner', 'Mark Feuerstein', 'Mia Wasikowska', 'Tomas Arana', 'Jacek Koman', 'Iben Hjejle', 'Mark Margolis', 'Jodhi May', 'Kate Fahy', 'Iddo Goldberg', 'Sam Spruell', 'Ravil Isyanov', 'Martin Hancock', ""Jonjo O'Neill"", 'Rolandas Boravskis']",['War']
Cargo 200,2009,"['Agniya Kuznetsova', 'Leonid Bichevin', 'Aleksei Poluyan', 'Leonid Gromov', 'Aleksei Serebryakov']","['Noir', 'Thriller']"
Bride Wars,2009,"['Kate Hudson', 'Anne Hathaway', 'Bryan Greenberg', 'Chris Pratt', 'Steve Howey', 'Candice Bergen', 'Kristen Johnston']","['Comedy', 'Romance']"
The Unborn,2009,"['Odette Yustman', 'Gary Oldman', 'Cam Gigandet', 'Meagan Good', 'Idris Elba', 'Jane Alexander', 'Atticus Shaffer', 'James Remar', 'Carla Gugino', 'C.S. Lee', 'Rhys Coiro', 'Ethan Cutkosky', 'Rachel Brosnahan', 'Michael Sassone', 'Craig Harris', 'Kymberly Mellen', 'Brian Boland', 'Roslyn Alexander']","['Horror', 'Supernatural']"
Cherry Blossoms,2009,"['Elmar Wepper', 'Aya Irizuki', 'Hannelore Elsner', 'Maximilian Brückner', 'Nadja Uhl', 'Birgit Minichmayr']",['Drama']
Hotel for Dogs,2009,"['Emma Roberts', 'Jake T. Austin', 'Don Cheadle', 'Johnny Simmons', 'Kyla Pratt', 'Troy Gentile', 'Lisa Kudrow', 'Kevin Dillon', 'Ajay Naidu', 'Eric Edelstein', 'Robinne Lee', 'Yvette Nicole Brown', 'Maximiliano Hernández', 'Andre Ware', 'Jonathan Klein', 'Kenny Vibert', 'Steve Liska', 'Jeremy Howard', 'Tiya Sircar', 'Mariah Buzolin', 'Jim Doughan', 'Gina St. John', 'Catherine McCord', 'Dwayne Swingler', 'Gregory Sporleder', 'Cosmo the Dog', 'Emily Kuroda', 'Ivan Reitman']","['Comedy', 'Family']"
My Bloody Valentine 3D,2009,"['Jensen Ackles', 'Jaime King', 'Kerr Smith', 'Betsy Rue', 'Megan Boone', 'Edi Gathegi', 'Tom Atkins', 'Kevin Tighe', 'Marc Macaulay', 'Todd Farmer', 'Selene Luna', 'Richard John Walters', 'Karen Baum', 'Joy de la Paz', 'Jeff Hochendoner', 'Chris Carnel']",['Slasher']
Notorious,2009,"['Jamal Woolard', 'Angela Bassett', 'Derek Luke', 'Anthony Mackie', 'Antonique Smith', 'Marc John Jefferies', 'Naturi Naughton', 'Kevin Phillips', 'Julia Pace Mitchell', 'Dennis L.A. White', 'Edwin Freeman', 'Sean Ringgold', 'Anwan Glover', 'Charles Malik Whitfield', 'Aunjanue Ellis', 'John Ventimiglia', 'David Costabile', 'Christopher Wallace Jr.', 'Valence Thomas', 'Jasper Briggs']","['Drama', 'Biography']"
Paul Blart: Mall Cop,2009,"['Kevin James', 'Jayma Mays', ""Keir O'Donnell"", 'Bobby Cannavale', 'Adam Ferrara', 'Peter Gerety', 'Stephen Rannazzisi', 'Jamal Mixon', 'Adhir Kalyan', 'Erick Avari', 'Raini Rodriguez', 'Shirley Knight', 'Gary Valentine', 'Allen Covert', 'Mike Vallely', 'Jackie Sandler', 'Mike Escamilla', 'Jason Ellis', 'Jason Packham', 'Rick Thorne', 'Victor Lopez', 'Natascha Hopkins', 'Mookie Barker']","['Action', 'Comedy']"
Donkey Punch,2009,"['Nichola Burley', 'Tom Burke', 'Jaime Winstone', 'Robert Boulter', 'and', 'Julian Morris']","['Horror', 'Thriller']"
Ink,2009,"['Chris Kelly', 'Quinn Hunchar', 'Jessica Duffy']",['Fantasy']
Inkheart,2009,"['Brendan Fraser', 'Paul Bettany', 'Helen Mirren', 'Jim Broadbent', 'Andy Serkis', 'Eliza Bennett', 'Rafi Gavron', 'Sienna Guillory', 'Lesley Sharp', 'Jamie Foreman', 'Matt King', 'John Thomson', 'Jennifer Connelly', 'Marnix Van Den Broeke', 'Steve Speirs', 'Jessie Cave', 'Adam Bond', 'Tereza Srbova', 'Emily Eby', 'Roger Allam', 'Paul Kasey', 'Stephen Graham']","['Adventure', 'Fantasy', 'Musical']"
Killshot,2009,"['Diane Lane', 'Mickey Rourke', 'Thomas Jane', 'Joseph Gordon-Levitt', 'Rosario Dawson', 'Hal Holbrook', 'Don McManus', 'Lois Smith', 'Tom McCamus', 'Tony Nappo']",['Thriller']
Possession,2009,"['Sarah Michelle Gellar', 'Lee Pace', 'Tuva Novotny', 'Michael Landes', 'Chelah Horsdal']",['Thriller']
Outlander,2009,"['James Caviezel', 'Sophia Myles', 'Ron Perlman', 'John Hurt', 'Jack Huston']","['Action', 'Fantasy', 'Horror', 'Science Fiction', 'War']"
Underworld: Rise of the Lycans,2009,"['Michael Sheen', 'Bill Nighy', 'Rhona Mitra', 'Steven Mackintosh', 'Kevin Grevioux', 'David Aston', 'Elizabeth Hawthorne', 'Craig Parker', 'Jared Turner', 'Tania Nolan', 'Brian Steele', 'Kate Beckinsale', 'Shane Brolly', 'Shane Rangi', 'Larry Rew', 'Timothy Raby', 'Geraldine Brophy', 'Leighton Cardno', 'Jason Hood', 'Mark Mitchinson', 'Peter Tait', 'Eleanor Williams', 'Edwin Wright']","['Action', 'Horror']"
Open Season 2,2009,"['Joel McHale', 'Mike Epps', 'Jane Krakowski', 'Billy Connolly', 'Crispin Glover', 'Steve Schirripa', 'Georgia Engel', 'Diedrich Bader', 'Cody Cameron', 'Fred Stoller', 'Olivia Hack', 'Danny Mann', 'Matthew W. Taylor', 'Nika Futterman', 'Dana Belben', 'Jeff Bennett', 'Elisa Gabrielli', 'Nicholas Guest', 'Bridget Hoffman', 'Walter Jones', 'Maurice LaMarche', 'Scott Menville', 'Kevin Michael Richardson', ""Predrag 'Pređo' Vušović"", 'Sean Mullen', 'Michelle Murdocca', 'Jacquie Barnbrook', 'Ranjani Brow', 'June Christopher', 'David Cowgill', 'Rachel Crane', 'Omar Crook', 'Lauri Fraser', 'Wendy Hoffmann', 'Hans Tester', 'Zlatan Zuhric-Zuhra']","['Animated', 'Comedy']"
The Class,2009,['François Bégaudeau'],['Drama']
Luck by Chance,2009,"['Farhan Akhtar', 'Juhi Chawla', 'Dimple Kapadia', 'Rishi Kapoor', 'Sanjay Kapoor']",['Drama']
New in Town,2009,"['Renée Zellweger', 'Harry Connick Jr.', 'J. K. Simmons', 'Nathan Fillion', 'Siobhan Fallon Hogan', 'Frances Conroy', 'Rashida Jones', 'Hilary Carroll', 'Barbara James Smith', 'Nancy Drake', ""Mike O'Brien"", 'Ferron Guerreiro', 'James Durham', 'Robert Small', 'Kristina Dawson']","['Comedy', 'Drama', 'Romance']"
Taken,2009,"['Liam Neeson', 'Maggie Grace', 'Leland Orser', 'Jon Gries', 'David Warshofsky', 'Holly Valance', 'Katie Cassidy', 'Xander Berkeley', 'Olivier Rabourdin', 'Gerard Watkins', 'Famke Janssen', 'Arben Bajraktaraj', 'Nicolas Giraud', 'Camille Japy', 'Goran Kostić', 'Anatole Taubman', 'Jalil Naciri', 'Nabil Massad']","['Action', 'Thriller']"
The Uninvited,2009,"['Emily Browning', 'Arielle Kebbel', 'David Strathairn', 'Elizabeth Banks', 'Jesse Moss', 'Kevin McNulty', 'Don S. Davis', 'Heather Doerksen', 'Maya Massar', 'Lex Burnham', 'Danny Bristol', 'Matthew Bristol', 'Dean Paul Gibson']",['Horror']
Our City Dreams,2009,"['Marina Abramović', 'Ghada Amer', 'Swoon', 'Kiki Smith', 'Nancy Spero']",[]
Coraline,2009,"['Dakota Fanning', 'Teri Hatcher', 'Ian McShane', 'John Hodgman', 'Keith David', 'Robert Bailey Jr.', 'Jennifer Saunders', 'Dawn French', 'Jerome Ranft', 'John Linnell', 'Carolyn Crawford', 'Aankha Neal', 'George Selick', 'Hannah Kaiser', 'Marina Budovsky', 'Harry Selick', 'Emerson Hatcher', 'Christopher Murrie', 'Jeremy Ryder', 'Yona Prost']","['Animated', 'Fantasy', 'Horror']"
Fanboys,2009,"['Jay Baruchel', 'Dan Fogler', 'Sam Huntington', 'Chris Marquette', 'Kristen Bell', 'David Denman', 'Christopher McDonald', 'Billy Dee Williams', 'Danny Trejo', 'Ethan Suplee', 'Seth Rogen', 'Allie Grant', 'Carrie Fisher', 'Jason Mewes', 'Kevin Smith', 'Jaime King', 'Danny McBride', 'Ray Park', 'Craig Robinson', 'Joe Lo Truglio', 'Lou Taylor Pucci', 'Will Forte', 'William Shatner', 'Pell James', 'Zak Knutson', 'Noah Segan', 'Peter Mayhew', 'Michael Shanks', 'Armin Shimerman']",['Comedy']
He's Just Not That into You,2009,"['Ben Affleck', 'Jennifer Aniston', 'Drew Barrymore', 'Jennifer Connelly', 'Kevin Connolly', 'Bradley Cooper', 'Ginnifer Goodwin', 'Scarlett Johansson', 'Justin Long', 'Kris Kristofferson', 'Wilson Cruz', 'Hedy Burress', 'Sasha Alexander', 'Leonardo Nam', 'Busy Philipps', 'Natasha Leggero', 'Angela Shelton', 'Frances Callier', 'Brandon Keener', 'Brooke Bloom', 'Marc Silverstein', 'Cory Hardrict', 'Annie Ilonzeh', 'Bill Brochtrup', 'John Ross Bowie', 'Googy Gress', 'Greg Behrendt', 'Luis Guzmán', 'Mary Stuart Masterson', 'Cristine Rose', 'Eric Stoltz']","['Comedy', 'Drama', 'Romance']"
Incendiary,2009,"['Michelle Williams', 'Ewan McGregor', 'Matthew Macfadyen', 'Nicholas Gleaves', 'Sidney Johnston', 'Usman Khokhar', 'Sasha Behar', 'Ed Hughes', 'Alibe Parsons', 'Stewart Wright', 'Al Hunter Ashton', 'Benjamin Wilkin', 'Steve Leatherbarrow', 'Robin Berry', 'Mercy Ojelade', 'Joe Marshall']",['Drama']
The Pink Panther 2,2009,"['Steve Martin', 'Jean Reno', 'Emily Mortimer', 'Andy García', 'Alfred Molina', 'Yuki Matsuzaki', 'Aishwarya Rai', 'John Cleese', 'Lily Tomlin', 'Jeremy Irons', 'Johnny Hallyday', 'Geoffrey Palmer', 'Molly Sims', 'Yevgeni Lazarev', 'Federico Castelluccio', 'Harry Van Gorkum', 'Christiane Amanpour', 'Sharon Tay', 'Karen Strassman', 'Armel Bellec', 'Jack Metzger', 'Linda Sans']","['Comedy', 'Mystery']"
Push,2009,"['Chris Evans', 'Dakota Fanning', 'Camilla Belle', 'Djimon Hounsou', 'Joel Gretsch', 'Ming-Na Wen', 'Cliff Curtis', 'Nate Mooney', 'Corey Stoll', 'Scott Michael Campbell', 'Neil Jackson', 'Maggie Siff', 'Xiao Lu Li', 'Haruhiko Yamanouchi', 'Colin Ford', 'Paul Car', 'Kwan Fung Chi']","['Superhero', 'Thriller']"
The Objective,2009,"['Jonas Ball', 'Matthew R. Anderson', 'Jon Huertas']","['Horror', 'Science Fiction']"
Bob the Builder: On Site – Skyscrapers,2009,"['Marc Silk', 'Lorelei King']","['Animated', 'Family']"
Confessions of a Shopaholic,2009,"['Isla Fisher', 'Hugh Dancy', 'Krysten Ritter', 'John Goodman', 'Joan Cusack', 'John Lithgow', 'Kristin Scott Thomas', 'Fred Armisen', 'Leslie Bibb', 'Lynn Redgrave', 'Robert Stanton', 'Julie Hagerty', 'Nick Cornish', 'Wendie Malick', 'Clea Lewis', 'Stephen Guarino', 'John Salley', 'Lennon Parham', 'Christine Ebersole', 'Michael Panes', 'Kelli Barrett', 'Kristen Connolly', 'Susan Blommaert', 'Matt Servitto', 'Brandi Burkhardt', 'Scott Evans', 'Marceline Hugot', 'Bea Miller', 'Peyton List', 'Ed Helms']","['Comedy', 'Romance']"
Friday the 13th,2009,"['Jared Padalecki', 'Danielle Panabaker', 'Amanda Righetti', 'Travis Van Winkle', 'Aaron Yoo', 'Derek Mears', 'Jonathan Sadowski', 'Julianna Guill', 'Ben Feldman', 'Arlen Escarpeta', 'Ryan Hansen', 'Willa Ford', 'Nick Mennell', 'America Olivo', 'Kyle Davis', 'Richard Burgi', 'Chris Coppola', 'Nana Visitor', 'Kathleen Garrett', 'Stephanie Rhodes']",['Slasher']
Gomorrah,2009,"['Toni Servillo', 'Gianfelice Imparato', 'Maria Nazionale', 'Salvatore Cantalupo', 'Gigio Morra', 'Salvatore Abruzzese', 'Marco Macor', 'Ciro Petrone', 'Carmine Paternoster']",['Crime']
The International,2009,"['Clive Owen', 'Naomi Watts', 'Armin Mueller-Stahl', 'Ulrich Thomsen', ""Brían F. O'Byrne"", 'Patrick Baladi', 'Haluk Bilginer', 'Luca Barbareschi', 'Felix Solis', 'Jack McGee', 'Tibor Feldman', 'James Rebhorn', 'Remy Auberjonois', 'Ian Burfield', 'Ben Whishaw', 'Peter Jordan', 'Axel Milberg', 'Lucian Msamati', 'Luca Calvani', 'Eric Warren Singer', 'Michel Voletti', 'Jay Villiers', 'Fabrice Scott', 'Alessandro Fabrizi', 'Nilaja Sun', 'Steven Randazzo']","['Action', 'Thriller']"
The Secret of Moonacre,2009,"['Ioan Gruffudd', 'Tim Curry', 'Natascha McElhone', 'Dakota Blue Richards', 'Juliet Stevenson', 'Augustus Prew', 'Michael Webber', 'Andy Linden']",['Fantasy']
Two Lovers,2009,"['Joaquin Phoenix', 'Gwyneth Paltrow', 'Vinessa Shaw', 'Isabella Rossellini', 'Elias Koteas', 'Moni Moshonov', 'Bob Ari', 'Julie Budd', 'Iain J. Bopp', 'Samantha Ivers', 'Jeanine Serralles', 'Miguel Rivera']","['Drama', 'Romance']"
Anvil! The Story of Anvil,2009,[],"['Musical', 'Documentary']"
Eleven Minutes,2009,[],[]
Fired Up,2009,"['Eric Christian Olsen', ""Nicholas D'Agosto"", 'Sarah Roemer', 'Molly Sims', 'David Walton', 'AnnaLynne McCord', 'Adhir Kalyan', 'Collins Pennie', 'Juliette Goglia', 'Hayley Marie Norman', 'Margo Harshman', 'Danneel Harris', 'John Michael Higgins', 'Philip Baker Hall', 'Edie McClurg', 'Jake Sandvig', 'Nicole Tubiola', 'Smith Cho', 'Masi Oka', 'Michael Blaiklock', 'Alan Ritchson', 'Tanya Chisholm', 'Julianna Guill', 'Kayla Ewell', 'Kate French', 'Joy Osmanski', 'Jessica Szohr', 'Kelen Coleman', 'Francia Raisa', 'Janel Parrish', 'Kate Lang Johnson', 'Jill Latiano', 'Shoshana Bush', 'Amber Stevens', 'Heather Morris', 'Brian Unger', 'Andrew Fleming', 'Madison Riley', 'Nicholas James', 'Rachele Brooke Smith']","['Comedy', 'Teen', 'Erotic']"
Madea Goes to Jail,2009,"['Tyler Perry', 'Derek Luke', 'Keshia Knight Pulliam', 'Ion Overman', 'Sofia Vergara', 'Vanessa Ferlito', 'David Mann', 'Tamela Mann', 'RonReaco Lee', 'Viola Davis', 'Keke Palmer', 'Bobbi Baker', 'Jackson Walker', 'Robin Coleman', 'Aisha Hinds', 'Benjamín Benítez', 'Phil McGraw', 'Mablean Ephriam', 'Greg Mathis', 'Al Sharpton', 'Whoopi Goldberg', 'Sherri Shepherd', 'Elisabeth Hasselbeck', 'Joy Behar', 'Tom Joyner', 'Steve Harvey', 'Michael Baisden', 'Frank Ski', 'india.arie', 'Wanda Smith', 'Sybil Wilkes', 'Shirley Strawberry', 'J. Anthony Brown']","['Comedy', 'Drama']"
Taking Chance,2009,"['Kevin Bacon', 'Tom Aldredge', 'Nicholas Reese Art', 'Blanche Baker', 'Guy Boyd', 'Gordon Clapp', 'Mike Colter', 'Joel de la Fuente', 'Liza Colón-Zayas', 'Ann Dowd', 'Tate Ellington', 'Noah Fleiss', 'Enver Gjokaj', 'Danny Hoch', 'Ruby Jerins', 'Tom Kemp', 'John Bedford Lloyd', 'John Magaro', 'Matthew Morrison', 'Maximilian Osinski', 'Wolé Parks', 'Victor Slezak', 'Felix Solis', 'Sarah Thompson', 'Paige Turco', 'Julie White', 'Emily Wickersham', 'Tom Wopat', 'Tom Bloom', 'James Castanien', 'Julian Gamble', 'Brendan Griffin', 'William Wise']","['Drama', 'Historical']"
Examined Life,2009,"['Cornel West', 'Slavoj Žižek', 'Judith Butler', 'Kwame Anthony Appiah', 'Michael Hardt', 'Martha Nussbaum', 'Avital Ronell', 'Peter Singer', 'Sunaura Taylor']",['Documentary']
An American Affair,2009,"['Gretchen Mol', 'James Rebhorn', 'Cameron Bright', 'Noah Wyle', 'Perrey Reeves', 'Mark Pellegrino', 'Jimmy Bellinger', 'Jermaine Crawford', 'Jerry Hart', 'Lisa-Lisbeth Finney', 'Laurel Astri', 'Sarah Hart', 'Jerry Whiddon', 'Monika Samtani', 'Hannah Williams', 'Gerry Paradiso', 'Kris Arnold', 'Courtney Miller']","['Drama', 'Independent', 'Historical']"
Crossing Over,2009,"['Harrison Ford', 'Ray Liotta', 'Jim Sturgess', 'Ashley Judd', 'Cliff Curtis', 'Alice Braga', 'Alice Eve', 'Summer Bishil', 'Jacqueline Obradors', 'Justin Chon', 'Melody Khazae', 'Marshall Manesh', 'Leonardo Nam', 'Tim Chiou', 'Johnny Young', 'Lizzy Caplan', 'Aramis Knight', 'Mahershalalhashbaz Ali', 'Bailey Chase', 'Sarah Shahi', 'Sung Hi Lee', 'Josh Gad', 'Maree Cheatham', 'Rey Valentin', 'Michael Cudlitz', 'Christopher Murray', 'Joaquín Garrido', 'Jack Conley', 'Tammin Sursok', 'Kevin Alejandro', 'Claudia Salinas', 'Alma Martinez', 'Gigi Rice', 'Jessica Tuck']","['Crime', 'Drama']"
Echelon Conspiracy,2009,"['Dir.:', 'Greg Marcks', 'Cast:', 'Shane West', 'Edward Burns', 'Ving Rhames', 'Jonathan Pryce', 'Tamara Feldman', 'Martin Sheen']","['Action', 'Thriller']"
The Girl with the Dragon Tattoo,2009,"['Michael Nyqvist', 'Noomi Rapace', 'Lena Endre', 'Sven-Bertil Taube', 'Peter Haber', 'Peter Andersson', 'Marika Lagercrantz', 'Ingvar Hirdwall', 'Björn Granath', 'Ewa Fröling', 'Michalis Koutsogiannakis', 'Annika Hallin', 'Tomas Köhler', 'Gunnel Lindblom', 'Gösta Bredefeldt', 'Stefan Sauk', 'Jacob Ericksson', 'Julia Sporre', 'Tehilla Blad', 'Sofia Ledarp', 'David Dencik', 'Reuben Sallmander', 'Alexandra Hummingson']","['Crime', 'Thriller', 'Action']"
Jonas Brothers: The 3D Concert Experience,2009,"['Kevin Jonas', 'Joe Jonas', 'Nick Jonas', 'Demi Lovato', 'Taylor Swift', 'Robert ""Big Rob"" Feggans', 'John Taylor', 'Jack Lawless', 'Ryan Liestman', 'Greg Garbowsky', 'Kevin Jonas Sr.', 'Denise Jonas', 'Frankie Jonas']",['Performance']
